trabajador,dia,turno,disposicion
T001,1,Mañana,2
T001,1,Noche,5
T001,2,Mañana,1
T001,2,Noche,4
T001,3,Mañana,9
T001,3,Noche,5
T001,4,Mañana,0
T001,4,Noche,0
T001,5,Mañana,6
T001,5,Noche,1
T001,6,Mañana,9
T001,6,Noche,7
T002,1,Mañana,6
T002,1,Noche,0
T002,2,Mañana,2
T002,2,Noche,9
T002,3,Mañana,10
T002,3,Noche,1
T002,4,Mañana,2
T002,4,Noche,6
T002,5,Mañana,0
T002,5,Noche,7
T002,6,Mañana,0
T002,6,Noche,8
T003,1,Mañana,7
T003,1,Noche,1
T003,2,Mañana,7
T003,2,Noche,4
T003,3,Mañana,0
T003,3,Noche,3
T003,4,Mañana,5
T003,4,Noche,7
T003,5,Mañana,3
T003,5,Noche,1
T003,6,Mañana,5
T003,6,Noche,2
T004,1,Mañana,5
T004,1,Noche,3
T004,2,Mañana,8
T004,2,Noche,0
T004,3,Mañana,2
T004,3,Noche,5
T004,4,Mañana,0
T004,4,Noche,0
T004,5,Mañana,6
T004,5,Noche,8
T004,6,Mañana,0
T004,6,Noche,0
T005,1,Mañana,10
T005,1,Noche,6
T005,2,Mañana,8
T005,2,Noche,9
T005,3,Mañana,0
T005,3,Noche,2
T005,4,Mañana,2
T005,4,Noche,9
T005,5,Mañana,10
T005,5,Noche,7
T005,6,Mañana,5
T005,6,Noche,7
T006,1,Mañana,1
T006,1,Noche,0
T006,2,Mañana,10
T006,2,Noche,9
T006,3,Mañana,0
T006,3,Noche,3
T006,4,Mañana,0
T006,4,Noche,3
T006,5,Mañana,0
T006,5,Noche,6
T006,6,Mañana,2
T006,6,Noche,1
T007,1,Mañana,5
T007,1,Noche,8
T007,2,Mañana,6
T007,2,Noche,5
T007,3,Mañana,1
T007,3,Noche,0
T007,4,Mañana,5
T007,4,Noche,8
T007,5,Mañana,2
T007,5,Noche,9
T007,6,Mañana,0
T007,6,Noche,7
T008,1,Mañana,0
T008,1,Noche,5
T008,2,Mañana,2
T008,2,Noche,4
T008,3,Mañana,8
T008,3,Noche,2
T008,4,Mañana,5
T008,4,Noche,6
T008,5,Mañana,5
T008,5,Noche,9
T008,6,Mañana,6
T008,6,Noche,1
