trabajador,dia,turno,disposicion
T001,1,Mañana,1
T001,1,Tarde,10
T001,1,Noche,0
T001,2,Mañana,0
T001,2,Tarde,9
T001,2,Noche,0
T001,3,Mañana,5
T001,3,Tarde,7
T001,3,Noche,3
T001,4,Mañana,0
T001,4,Tarde,0
T001,4,Noche,2
T001,5,Mañana,5
T001,5,Tarde,0
T001,5,Noche,9
T001,6,Mañana,0
T001,6,Tarde,1
T001,6,Noche,0
T001,7,Mañana,2
T001,7,Tarde,0
T001,7,Noche,0
T001,8,Mañana,2
T001,8,Tarde,5
T001,8,Noche,7
T001,9,Mañana,1
T001,9,Tarde,9
T001,9,Noche,2
T001,10,Mañana,5
T001,10,Tarde,3
T001,10,Noche,0
T001,11,Mañana,1
T001,11,Tarde,6
T001,11,Noche,0
T001,12,Mañana,0
T001,12,Tarde,0
T001,12,Noche,3
T001,13,Mañana,9
T001,13,Tarde,0
T001,13,Noche,10
T001,14,Mañana,0
T001,14,Tarde,9
T001,14,Noche,6
T002,1,Mañana,9
T002,1,Tarde,5
T002,1,Noche,3
T002,2,Mañana,0
T002,2,Tarde,2
T002,2,Noche,10
T002,3,Mañana,5
T002,3,Tarde,0
T002,3,Noche,8
T002,4,Mañana,3
T002,4,Tarde,0
T002,4,Noche,0
T002,5,Mañana,2
T002,5,Tarde,3
T002,5,Noche,9
T002,6,Mañana,6
T002,6,Tarde,5
T002,6,Noche,0
T002,7,Mañana,10
T002,7,Tarde,0
T002,7,Noche,8
T002,8,Mañana,0
T002,8,Tarde,1
T002,8,Noche,0
T002,9,Mañana,6
T002,9,Tarde,2
T002,9,Noche,6
T002,10,Mañana,4
T002,10,Tarde,8
T002,10,Noche,0
T002,11,Mañana,6
T002,11,Tarde,0
T002,11,Noche,5
T002,12,Mañana,0
T002,12,Tarde,6
T002,12,Noche,4
T002,13,Mañana,2
T002,13,Tarde,3
T002,13,Noche,5
T002,14,Mañana,0
T002,14,Tarde,10
T002,14,Noche,0
T003,1,Mañana,4
T003,1,Tarde,3
T003,1,Noche,8
T003,2,Mañana,10
T003,2,Tarde,7
T003,2,Noche,10
T003,3,Mañana,4
