dia,turno,demanda
1,Mañana,6
1,Tarde,21
1,Noche,28
2,Mañana,18
2,Tarde,36
2,Noche,24
3,Mañana,23
3,Tarde,28
3,Noche,21
4,Mañana,27
4,Tarde,22
4,Noche,18
5,Mañana,17
5,Tarde,18
5,Noche,21
6,Mañana,28
6,Tarde,18
6,Noche,20
7,Mañana,14
7,Tarde,20
7,Noche,18
8,Mañana,32
8,Tarde,21
8,Noche,27
9,Mañana,36
9,Tarde,33
9,Noche,21
10,Mañana,29
10,Tarde,41
10,Noche,28
11,Mañana,34
11,Tarde,28
11,Noche,23
12,Mañana,16
12,Tarde,30
12,Noche,27
13,Mañana,35
13,Tarde,26
13,Noche,29
14,Mañana,29
14,Tarde,23
14,Noche,22
15,Mañana,27
15,Tarde,34
15,Noche,15
16,Mañana,28
16,Tarde,15
16,Noche,33
17,Mañana,29
17,Tarde,18
17,Noche,16
18,Mañana,21
18,Tarde,27
18,Noche,23
19,Mañana,42
19,Tarde,10
19,Noche,29
20,Mañana,15
20,Tarde,11
20,Noche,16
21,Mañana,32
21,Tarde,77
21,Noche,30
22,Mañana,39
22,Tarde,27
22,Noche,35
23,Mañana,21
23,Tarde,36
23,Noche,30
24,Mañana,39
24,Tarde,30
24,Noche,29
25,Mañana,23
25,Tarde,27
25,Noche,29
