trabajador,dia,turno,disposicion
T001,1,Mañana,2
T001,1,Tarde,10
T001,1,Noche,0
T001,2,Mañana,7
T001,2,Tarde,8
T001,2,Noche,10
T001,3,Mañana,5
T001,3,Tarde,0
T001,3,Noche,1
T001,4,Mañana,0
T001,4,Tarde,1
T001,4,Noche,2
T001,5,Mañana,0
T001,5,Tarde,0
T001,5,Noche,3
T001,6,Mañana,4
T001,6,Tarde,2
T001,6,Noche,5
T001,7,Mañana,0
T001,7,Tarde,8
T001,7,Noche,7
T001,8,Mañana,2
T001,8,Tarde,0
T001,8,Noche,1
T001,9,Mañana,1
T001,9,Tarde,0
T001,9,Noche,3
T002,1,Mañana,9
T002,1,Tarde,8
T002,1,Noche,3
T002,2,Mañana,0
T002,2,Tarde,1
T002,2,Noche,5
T002,3,Mañana,1
T002,3,Tarde,5
T002,3,Noche,7
T002,4,Mañana,7
T002,4,Tarde,5
T002,4,Noche,0
T002,5,Mañana,10
T002,5,Tarde,10
T002,5,Noche,2
T002,6,Mañana,7
T002,6,Tarde,2
T002,6,Noche,5
T002,7,Mañana,0
T002,7,Tarde,8
T002,7,Noche,1
T002,8,Mañana,3
T002,8,Tarde,0
T002,8,Noche,9
T002,9,Mañana,9
T002,9,Tarde,4
T002,9,Noche,1
T003,1,Mañana,0
T003,1,Tarde,4
T003,1,Noche,4
T003,2,Mañana,9
T003,2,Tarde,1
T003,2,Noche,3
T003,3,Mañana,1
T003,3,Tarde,10
T003,3,Noche,9
T003,4,Mañana,2
T003,4,Tarde,9
T003,4,Noche,4
T003,5,Mañana,0
T003,5,Tarde,10
T003,5,Noche,10
T003,6,Mañana,3
T003,6,Tarde,0
T003,6,Noche,7
T003,7,Mañana,7
T003,7,Tarde,9
T003,7,Noche,2
T003,8,Mañana,6
T003,8,Tarde,7
T003,8,Noche,4
T003,9,Mañana,2
T003,9,Tarde,10
T003,9,Noche,9
T004,1,Mañana,8
T004,1,Tarde,1
T004,1,Noche,1
T004,2,Mañana,5
T004,2,Tarde,5
T004,2,Noche,0
T004,3,Mañana,2
T004,3,Tarde,9
T004,3,Noche,0
T004,4,Mañana,2
T004,4,Tarde,5
T004,4,Noche,0
T004,5,Mañana,2
T004,5,Tarde,0
T004,5,Noche,1
T004,6,Mañana,7
T004,6,Tarde,8
T004,6,Noche,0
T004,7,Mañana,0
T004,7,Tarde,8
T004,7,Noche,0
T004,8,Mañana,10
T004,8,Tarde,1
T004,8,Noche,6
T004,9,Mañana,6
T004,9,Tarde,0
T004,9,Noche,9
T005,1,Mañana,0
T005,1,Tarde,0
T005,1,Noche,2
T005,2,Mañana,7
T005,2,Tarde,0
T005,2,Noche,8
T005,3,Mañana,3
T005,3,Tarde,0
T005,3,Noche,3
T005,4,Mañana,6
T005,4,Tarde,9
T005,4,Noche,9
T005,5,Mañana,0
T005,5,Tarde,5
T005,5,Noche,10
T005,6,Mañana,7
T005,6,Tarde,8
T005,6,Noche,5
T005,7,Mañana,1
T005,7,Tarde,2
T005,7,Noche,0
T005,8,Mañana,0
T005,8,Tarde,4
T005,8,Noche,6
T005,9,Mañana,10
T005,9,Tarde,2
T005,9,Noche,0
T006,1,Mañana,0
T006,1,Tarde,3
T006,1,Noche,2
T006,2,Mañana,4
T006,2,Tarde,1
T006,2,Noche,0
T006,3,Mañana,6
T006,3,Tarde,0
T006,3,Noche,10
T006,4,Mañana,0
T006,4,Tarde,4
T006,4,Noche,0
T006,5,Mañana,5
T006,5,Tarde,2
T006,5,Noche,8
T006,6,Mañana,0
T006,6,Tarde,0
T006,6,Noche,10
T006,7,Mañana,4
T006,7,Tarde,2
T006,7,Noche,6
T006,8,Mañana,2
T006,8,Tarde,5
T006,8,Noche,0
T006,9,Mañana,1
T006,9,Tarde,3
T006,9,Noche,0
T007,1,Mañana,2
T007,1,Tarde,0
T007,1,Noche,7
T007,2,Mañana,5
T007,2,Tarde,4
T007,2,Noche,6
T007,3,Mañana,7
T007,3,Tarde,0
T007,3,Noche,4
T007,4,Mañana,4
T007,4,Tarde,2
T007,4,Noche,1
T007,5,Mañana,7
T007,5,Tarde,0
T007,5,Noche,1
T007,6,Mañana,0
T007,6,Tarde,0
T007,6,Noche,8
T007,7,Mañana,7
T007,7,Tarde,7
T007,7,Noche,0
T007,8,Mañana,3
T007,8,Tarde,2
T007,8,Noche,7
T007,9,Mañana,0
T007,9,Tarde,3
T007,9,Noche,0
T008,1,Mañana,9
T008,1,Tarde,5
T008,1,Noche,2
T008,2,Mañana,0
T008,2,Tarde,0
T008,2,Noche,5
T008,3,Mañana,7
T008,3,Tarde,1
T008,3,Noche,6
T008,4,Mañana,5
T008,4,Tarde,5
T008,4,Noche,3
T008,5,Mañana,2
T008,5,Tarde,5
T008,5,Noche,7
T008,6,Mañana,0
T008,6,Tarde,3
T008,6,Noche,6
T008,7,Mañana,0
T008,7,Tarde,0
T008,7,Noche,1
T008,8,Mañana,2
T008,8,Tarde,0
T008,8,Noche,0
T008,9,Mañana,3
T008,9,Tarde,2
T008,9,Noche,8
T009,1,Mañana,3
T009,1,Tarde,9
T009,1,Noche,7
