dia,turno,demanda
1,Mañana,24
1,Tarde,22
1,Noche,8
2,Mañana,25
2,Tarde,21
2,Noche,7
3,Mañana,18
3,Tarde,24
3,Noche,19
4,Mañana,15
4,Tarde,23
4,Noche,29
5,Mañana,16
5,Tarde,17
5,Noche,18
6,Mañana,10
6,Tarde,23
6,Noche,18
7,Mañana,20
7,Tarde,19
7,Noche,18
8,Mañana,23
8,Tarde,10
8,Noche,22
9,Mañana,24
9,Tarde,15
9,Noche,16
10,Mañana,16
10,Tarde,7
10,Noche,24
11,Mañana,14
11,Tarde,21
11,Noche,25
12,Mañana,25
12,Tarde,23
12,Noche,6
13,Mañana,20
13,Tarde,29
13,Noche,28
14,Mañana,31
14,Tarde,25
14,Noche,27
15,Mañana,23
15,Tarde,22
15,Noche,31
16,Mañana,25
16,Tarde,22
16,Noche,23
17,Mañana,21
17,Tarde,19
17,Noche,19
18,Mañana,24
18,Tarde,16
18,Noche,31
19,Mañana,16
19,Tarde,16
19,Noche,14
20,Mañana,21
20,Tarde,16
20,Noche,18
21,Mañana,12
21,Tarde,16
21,Noche,15
