trabajador,dia,turno,disposicion
T001,1,Mañana,2
T001,1,Noche,8
T001,2,Mañana,8
T001,2,Noche,0
T001,3,Mañana,10
T001,3,Noche,1
T001,4,Mañana,4
T001,4,Noche,3
T001,5,Mañana,10
T001,5,Noche,0
T001,6,Mañana,9
T001,6,Noche,8
T001,7,Mañana,1
T001,7,Noche,4
T002,1,Mañana,1
T002,1,Noche,6
T002,2,Mañana,5
T002,2,Noche,10
T002,3,Mañana,2
T002,3,Noche,9
T002,4,Mañana,9
T002,4,Noche,6
T002,5,Mañana,7
T002,5,Noche,7
T002,6,Mañana,9
T002,6,Noche,3
T002,7,Mañana,4
T002,7,Noche,0
T003,1,Mañana,9
T003,1,Noche,7
T003,2,Mañana,2
T003,2,Noche,0
T003,3,Mañana,0
T003,3,Noche,8
T003,4,Mañana,4
T003,4,Noche,2
T003,5,Mañana,8
T003,5,Noche,9
T003,6,Mañana,0
T003,6,Noche,6
T003,7,Mañana,0
T003,7,Noche,10
T004,1,Mañana,10
T004,1,Noche,6
T004,2,Mañana,0
T004,2,Noche,7
T004,3,Mañana,4
T004,3,Noche,7
T004,4,Mañana,0
T004,4,Noche,7
T004,5,Mañana,2
T004,5,Noche,7
T004,6,Mañana,2
T004,6,Noche,0
T004,7,Mañana,6
T004,7,Noche,2
T005,1,Mañana,3
T005,1,Noche,6
T005,2,Mañana,4
T005,2,Noche,5
T005,3,Mañana,2
T005,3,Noche,0
T005,4,Mañana,7
T005,4,Noche,10
T005,5,Mañana,8
T005,5,Noche,9
T005,6,Mañana,5
T005,6,Noche,5
T005,7,Mañana,5
T005,7,Noche,9
T006,1,Mañana,9
T006,1,Noche,3
T006,2,Mañana,8
T006,2,Noche,7
T006,3,Mañana,9
T006,3,Noche,2
T006,4,Mañana,3
T006,4,Noche,10
T006,5,Mañana,2
T006,5,Noche,10
T006,6,Mañana,8
T006,6,Noche,6
T006,7,Mañana,10
T006,7,Noche,0
T007,1,Mañana,0
T007,1,Noche,0
T007,2,Mañana,8
T007,2,Noche,5
T007,3,Mañana,0
T007,3,Noche,6
T007,4,Mañana,1
T007,4,Noche,9
T007,5,Mañana,0
T007,5,Noche,0
T007,6,Mañana,0
T007,6,Noche,8
T007,7,Mañana,0
T007,7,Noche,8
T008,1,Mañana,2
T008,1,Noche,10
T008,2,Mañana,5
T008,2,Noche,3
T008,3,Mañana,6
T008,3,Noche,0
T008,4,Mañana,10
T008,4,Noche,10
T008,5,Mañana,2
T008,5,Noche,3
T008,6,Mañana,0
T008,6,Noche,8
T008,7,Mañana,10
T008,7,Noche,7
T009,1,Mañana,0
T009,1,Noche,0
T009,2,Mañana,10
T009,2,Noche,7
T009,3,Mañana,0
T009,3,Noche,7
T009,4,Mañana,3
T009,4,Noche,6
T009,5,Mañana,0
T009,5,Noche,0
T009,6,Mañana,1
T009,6,Noche,0
T009,7,Mañana,1
T009,7,Noche,6
T010,1,Mañana,4
T010,1,Noche,10
T010,2,Mañana,3
T010,2,Noche,4
T010,3,Mañana,0
T010,3,Noche,2
T010,4,Mañana,6
T010,4,Noche,10
T010,5,Mañana,8
T010,5,Noche,9
T010,6,Mañana,6
T010,6,Noche,2
T010,7,Mañana,3
T010,7,Noche,0
T011,1,Mañana,10
T011,1,Noche,5
T011,2,Mañana,9
T011,2,Noche,1
T011,3,Mañana,3
T011,3,Noche,5
T011,4,Mañana,2
T011,4,Noche,2
T011,5,Mañana,8
T011,5,Noche,2
T011,6,Mañana,9
T011,6,Noche,0
T011,7,Mañana,2
T011,7,Noche,0
T012,1,Mañana,1
T012,1,Noche,0
T012,2,Mañana,3
T012,2,Noche,1
T012,3,Mañana,7
T012,3,Noche,10
T012,4,Mañana,0
T012,4,Noche,10
T012,5,Mañana,2
T012,5,Noche,5
T012,6,Mañana,10
T012,6,Noche,1
T012,7,Mañana,0
T012,7,Noche,3
T013,1,Mañana,0
T013,1,Noche,5
T013,2,Mañana,0
T013,2,Noche,4
T013,3,Mañana,7
T013,3,Noche,3
T013,4,Mañana,7
T013,4,Noche,0
T013,5,Mañana,10
T013,5,Noche,0
T013,6,Mañana,9
T013,6,Noche,1
T013,7,Mañana,1
T013,7,Noche,4
T014,1,Mañana,9
T014,1,Noche,4
T014,2,Mañana,0
T014,2,Noche,5
T014,3,Mañana,5
T014,3,Noche,8
T014,4,Mañana,1
T014,4,Noche,5
T014,5,Mañana,2
T014,5,Noche,3
T014,6,Mañana,8
T014,6,Noche,2
T014,7,Mañana,6
T014,7,Noche,6
