dia,turno,demanda
1,Mañana,27
1,Tarde,20
1,Noche,17
2,Mañana,12
2,Tarde,14
2,Noche,29
3,Mañana,26
3,Tarde,24
3,Noche,29
4,Mañana,19
4,Tarde,18
4,Noche,14
5,Mañana,18
5,Tarde,17
5,Noche,25
6,Mañana,27
6,Tarde,22
6,Noche,19
7,Mañana,22
7,Tarde,20
7,Noche,16
8,Mañana,23
8,Tarde,23
8,Noche,16
9,Mañana,23
9,Tarde,15
9,Noche,20
10,Mañana,13
10,Tarde,25
10,Noche,20
11,Mañana,24
11,Tarde,24
11,Noche,14
12,Mañana,28
12,Tarde,22
12,Noche,20
13,Mañana,16
13,Tarde,32
13,Noche,17
14,Mañana,6
14,Tarde,29
14,Noche,26
15,Mañana,20
15,Tarde,23
15,Noche,16
16,Mañana,29
16,Tarde,24
16,Noche,23
17,Mañana,17
17,Tarde,27
17,Noche,29
