dia,turno,demanda
1,Mañana,16
1,Tarde,13
1,Noche,16
2,Mañana,12
2,Tarde,15
2,Noche,17
3,Mañana,8
3,Tarde,11
3,Noche,16
4,Mañana,12
4,Tarde,12
4,Noche,24
5,Mañana,20
5,Tarde,8
5,Noche,20
6,Mañana,14
6,Tarde,17
6,Noche,13
7,Mañana,10
7,Tarde,19
7,Noche,17
8,Mañana,20
8,Tarde,19
8,Noche,21
9,Mañana,19
9,Tarde,7
9,Noche,17
10,Mañana,18
10,Tarde,19
10,Noche,17
11,Mañana,14
11,Tarde,12
11,Noche,20
12,Mañana,16
12,Tarde,15
12,Noche,16
13,Mañana,17
13,Tarde,14
13,Noche,15
14,Mañana,16
14,Tarde,13
14,Noche,11
15,Mañana,7
15,Tarde,15
15,Noche,12
16,Mañana,11
16,Tarde,13
16,Noche,19
17,Mañana,15
17,Tarde,16
17,Noche,15
18,Mañana,9
18,Tarde,22
18,Noche,18
19,Mañana,22
19,Tarde,13
19,Noche,15
